WKT,name,description
"POLYGON ((106.8233739 -6.171451, 106.8234365 -6.1714929, 106.8232246 -6.1717569, 106.8232237 -6.1722403, 106.8230735 -6.1797922, 106.8232398 -6.1800642, 106.8234812 -6.1802616, 106.8238942 -6.1803869, 106.8253373 -6.1803522, 106.8272255 -6.1802722, 106.8309699 -6.1801549, 106.8310745 -6.1799496, 106.8310504 -6.1797122, 106.830986 -6.1794722, 106.8308197 -6.1792589, 106.8303262 -6.1787682, 106.8306051 -6.1784269, 106.8298112 -6.1776803, 106.8298876 -6.1773049, 106.829897 -6.1768949, 106.8299104 -6.1761016, 106.8299242 -6.175826, 106.8299701 -6.1758196, 106.8299735 -6.1756523, 106.8299916 -6.1752903, 106.8300472 -6.1752056, 106.8300063 -6.1748756, 106.8299897 -6.1747208, 106.8300026 -6.174566, 106.8300164 -6.1745163, 106.8298755 -6.1738616, 106.8297958 -6.1734196, 106.8295926 -6.173359, 106.82926 -6.173183, 106.8290575 -6.1728936, 106.8292318 -6.1719843, 106.8292305 -6.1717963, 106.8291218 -6.171651, 106.8289797 -6.1715523, 106.8233739 -6.171451))",Taman Monas,
"LINESTRING (106.8159983 -6.3081831, 106.8157837 -6.3100599, 106.8161485 -6.3106784)",Line 3,
